,dpt,latitude,longitude
0, Mbour,14.385877449999999,-16.829797609320536
1, Amériques-Océanie,,
2, Dakar,14.693425,-17.447938
3, Kebemer,15.3688735,-16.4429778
4, Podor,16.652705,-14.958669
5, Guediawaye,14.7771207,-17.390071
6, Fatick,13.9406041,-16.4024021
7, Dakar,14.693425,-17.447938
8, Thies,14.7948093,-16.9529272
9, Kaolack,14.04807735,-16.015508291809287
10, Kaolack,14.04807735,-16.015508291809287
11, Dakar,14.693425,-17.447938
12, Saint-louis,38.6319657,-90.2428756
13, Mbacke,14.7971224,-15.9066608
14, Mbacke,14.7971224,-15.9066608
15, Mbacke,14.7971224,-15.9066608
16, Mbacke,14.7971224,-15.9066608
17, Nioro,15.156,-9.782107142857143
18, Birkelane,14.1282088,-15.7469433
19, Afrique du Nord,45.938247000000004,-0.985476751082246
20, Guinguineo,14.272179,-15.945573
21, Dakar,14.693425,-17.447938
22, Louga,15.2401304,-15.3441834
23, Linguere,15.3954248,-15.1153121
24, Europe du Sud,50.7719646,3.0478068
25, Pikine,14.751544,-17.396413
26, Saint-louis,38.6319657,-90.2428756
27, Europe du Sud,50.7719646,3.0478068
28, Bignona,12.801133,-16.22897
29, Dakar,14.693425,-17.447938
30, Keur Massar,14.7822567,-17.311199
31, Tivaouane,14.94845195,-16.813997120509896
32, Saint-louis,38.6319657,-90.2428756
33, Dakar,14.693425,-17.447938
34, Sedhiou,12.9102548,-15.55298390097876
35, Afrique du Centre,12.6327041,-7.998393018654003
36, Pikine,14.751544,-17.396413
37, Mbour,14.385877449999999,-16.829797609320536
38, Pikine,14.751544,-17.396413
39, Diourbel,14.7043898,-16.0511737
40, Dakar,14.693425,-17.447938
41, Rufisque,14.716417,-17.273844
42, Guinguineo,14.272179,-15.945573
43, Linguere,15.3954248,-15.1153121
44, Rufisque,14.716417,-17.273844
45, Dakar,14.693425,-17.447938
46," Europe de l’Ouest, d",43.924538350000006,4.787462663404174
47, Dakar,14.693425,-17.447938
48, Dakar,14.693425,-17.447938
49," Europe de l’Ouest, d",43.924538350000006,4.787462663404174
50, Tivaouane,14.94845195,-16.813997120509896
51, Thies,14.7948093,-16.9529272
52, Tivaouane,14.94845195,-16.813997120509896
53,Dagana,16.516508,-15.50684
54, Pikine,14.751544,-17.396413
55, Dakar,14.693425,-17.447938
56, Bounkiling,13.0408601,-15.6960536
57, Guediawaye,14.7771207,-17.390071
58, Dakar,14.693425,-17.447938
59, Dakar,14.693425,-17.447938
60, Koungheul,13.979578,-14.803538
61, Pikine,14.751544,-17.396413
62, Dakar,14.693425,-17.447938
63, Bambey,14.69548,-16.449262
64, Dakar,14.693425,-17.447938
65, Dakar,14.693425,-17.447938
66, Bignona,12.801133,-16.22897
67, Goudomp,12.5722917,-15.8763623
68, Matam,15.0028849,-13.9240088
69, Dakar,14.693425,-17.447938
70, Koumpentoum,13.980418,-14.561125
71, Velingara,14.2308841,-16.7427214
72, Foudiougne,,
73, Diourbel,14.7043898,-16.0511737
74, Tivaouane,14.94845195,-16.813997120509896
75, Kanel,15.491026,-13.1756847
76, Dakar,14.693425,-17.447938
77, Velingara,14.2308841,-16.7427214
78, Dakar,14.693425,-17.447938
79, Guinguineo,14.272179,-15.945573
80, Bakel,51.5036525,5.7397091
81, Europe du Sud,50.7719646,3.0478068
82, Gossas,14.8337008,-15.5739878
83, Podor,16.652705,-14.958669
84, Tambacounda,13.8301533,-13.0891759
85, Kanel,15.491026,-13.1756847
86, Dakar,14.693425,-17.447938
87, Birkelane,14.1282088,-15.7469433
88, Saraya,34.6401861,39.0494106
89, Sedhiou,12.9102548,-15.55298390097876
90, Goudomp,12.5722917,-15.8763623
91, Guediawaye,14.7771207,-17.390071
92, Bounkiling,13.0408601,-15.6960536
93, Rufisque,14.716417,-17.273844
94, Dakar,14.693425,-17.447938
95, Medina-Yoro-Foulah,13.2928947,-14.7144753
96, Guediawaye,14.7771207,-17.390071
97, Kaolack,14.04807735,-16.015508291809287
98, Pikine,14.751544,-17.396413
99, Dakar,14.693425,-17.447938
100, Kolda,13.1291507,-14.418147374323599
101, Ziguinchor,12.5634929,-16.2724609
102, Kaolack,14.04807735,-16.015508291809287
103, Nioro,15.156,-9.782107142857143
104, Afrique du Centre,12.6327041,-7.998393018654003
105, Dakar,14.693425,-17.447938
106, Tambacounda,13.8301533,-13.0891759
107, Dakar,14.693425,-17.447938
108, Guediawaye,14.7771207,-17.390071
